ID,가격(백만원)
TEST_102,74.74724
TEST_103,40.112534
TEST_104,23.886925
TEST_105,22.410597
TEST_106,98.85305
TEST_107,99.71015
TEST_108,23.570358
TEST_109,34.722775
TEST_110,51.846256
TEST_111,34.142532
TEST_112,24.63511
TEST_113,24.63511
TEST_114,34.122967
TEST_115,18.142416
TEST_116,64.17013
TEST_117,119.21258
TEST_118,155.47763
TEST_119,48.206165
TEST_120,63.8751
TEST_121,37.69917
TEST_122,160.22351
TEST_123,60.611343
TEST_124,20.976913
TEST_125,37.742847
TEST_126,71.97221
TEST_127,80.07223
TEST_128,28.137806
TEST_129,81.12073
TEST_130,76.19133
TEST_131,19.085089
TEST_132,24.63511
TEST_133,39.843117
TEST_134,21.098175
TEST_135,79.954155
TEST_136,59.624077
TEST_137,63.899986
TEST_138,71.967026
TEST_139,28.698252
TEST_140,27.876312
TEST_141,55.55698
TEST_142,24.605404
TEST_143,72.38801
TEST_144,20.48172
TEST_145,73.289185
TEST_146,69.99158
TEST_147,28.031683
TEST_148,53.627483
TEST_149,65.47403
TEST_150,64.84391
TEST_151,126.38684
TEST_152,78.18925
TEST_153,37.742847
TEST_154,63.893116
TEST_155,151.76843
TEST_156,23.060871
TEST_157,65.47403
TEST_158,96.81027
TEST_159,81.12073
TEST_160,40.90035
TEST_161,60.64591
TEST_162,38.63542
TEST_163,53.942654
TEST_164,47.945023
TEST_165,71.929825
TEST_166,40.21244
TEST_167,126.4631
TEST_168,81.36407
TEST_169,151.76843
TEST_170,145.5096
TEST_171,97.81304
TEST_172,60.6353
TEST_173,38.807167
TEST_174,22.832237
TEST_175,22.799202
TEST_176,51.193928
TEST_177,48.139523
TEST_178,58.249477
TEST_179,23.886925
TEST_180,102.03535
TEST_181,159.29361
TEST_182,58.249477
TEST_183,21.88508
TEST_184,27.876312
TEST_185,38.833984
TEST_186,58.753025
TEST_187,37.69917
TEST_188,23.068697
TEST_189,27.870556
TEST_190,150.22534
TEST_191,24.721886
TEST_192,38.782894
TEST_193,96.81027
TEST_194,20.284325
TEST_195,78.52191
TEST_196,99.743416
TEST_197,47.92123
TEST_198,39.975224
TEST_199,22.765114
TEST_200,35.236736
TEST_201,100.047806
TEST_202,55.474606
TEST_203,58.38739
TEST_204,35.236736
TEST_205,22.318151
TEST_206,71.967026
TEST_207,58.23115
TEST_208,69.915054
TEST_209,35.236736
TEST_210,35.236736
TEST_211,155.47763
TEST_212,40.86989
TEST_213,99.49227
TEST_214,75.31142
TEST_215,21.87791
TEST_216,65.46817
TEST_217,80.077194
TEST_218,63.893116
TEST_219,47.736874
TEST_220,37.742847
TEST_221,46.10988
TEST_222,111.590546
TEST_223,160.23433
TEST_224,71.967026
TEST_225,37.742847
TEST_226,78.18104
TEST_227,58.753025
TEST_228,41.035107
TEST_229,69.7457
TEST_230,80.11327
TEST_231,80.07223
TEST_232,40.198166
TEST_233,155.78868
TEST_234,99.6264
TEST_235,34.689007
TEST_236,125.71315
TEST_237,53.72335
TEST_238,69.62594
TEST_239,83.68566
TEST_240,53.942654
TEST_241,99.31072
TEST_242,40.944527
TEST_243,59.74904
TEST_244,64.100555
TEST_245,78.680214
TEST_246,159.68192
TEST_247,120.90461
TEST_248,79.76859
TEST_249,34.159317
TEST_250,40.86989
TEST_251,34.377792
TEST_252,126.58377
TEST_253,40.86989
TEST_254,64.585304
TEST_255,160.2343
TEST_256,22.76928
TEST_257,63.88197
TEST_258,73.82627
TEST_259,79.09482
TEST_260,130.79076
TEST_261,27.650173
TEST_262,28.031683
TEST_263,17.895739
TEST_264,23.570358
TEST_265,34.722775
TEST_266,120.77551
TEST_267,37.742847
TEST_268,64.254814
TEST_269,71.967026
TEST_270,40.828156
TEST_271,126.25804
TEST_272,28.076138
TEST_273,27.739029
TEST_274,17.739433
TEST_275,41.25539
TEST_276,65.47403
TEST_277,52.760605
TEST_278,47.980118
TEST_279,39.908215
TEST_280,23.66792
TEST_281,90.364296
TEST_282,77.96738
TEST_283,35.236736
TEST_284,120.90461
TEST_285,20.302067
TEST_286,28.027374
TEST_287,120.90461
TEST_288,127.19848
TEST_289,47.87676
TEST_290,34.722775
TEST_291,99.33714
TEST_292,27.650173
TEST_293,73.82627
TEST_294,64.05772
TEST_295,99.57233
TEST_296,28.024696
TEST_297,27.787457
TEST_298,38.807167
TEST_299,62.403393
TEST_300,34.722775
TEST_301,57.55259
TEST_302,40.86989
TEST_303,18.142416
TEST_304,83.337364
TEST_305,47.736874
TEST_306,126.39993
TEST_307,74.0845
TEST_308,39.843117
TEST_309,73.958664
TEST_310,34.12251
TEST_311,52.760605
TEST_312,63.331142
TEST_313,78.17335
TEST_314,100.00304
TEST_315,22.858849
TEST_316,38.833984
TEST_317,23.315296
TEST_318,98.82031
TEST_319,36.86794
TEST_320,97.85028
TEST_321,74.094086
TEST_322,54.628857
TEST_323,73.82627
TEST_324,98.85305
TEST_325,120.77551
TEST_326,23.886925
TEST_327,69.62594
TEST_328,80.07458
TEST_329,23.626247
TEST_330,27.565453
TEST_331,159.28593
TEST_332,23.497108
TEST_333,38.807167
TEST_334,34.04568
TEST_335,100.136116
TEST_336,57.273235
TEST_337,47.377613
TEST_338,99.45683
TEST_339,64.90691
TEST_340,75.00016
TEST_341,34.722775
TEST_342,22.765114
TEST_343,40.071045
TEST_344,118.98267
TEST_345,99.97939
TEST_346,120.90461
TEST_347,21.341589
TEST_348,126.39993
TEST_349,57.55259
TEST_350,76.71123
TEST_351,80.077194
TEST_352,38.821754
TEST_353,38.821754
TEST_354,71.97221
TEST_355,93.44846
TEST_356,40.89448
TEST_357,24.721886
TEST_358,47.736874
TEST_359,99.743416
TEST_360,20.284325
TEST_361,22.496996
TEST_362,22.41778
TEST_363,40.112534
TEST_364,38.821754
TEST_365,35.12998
TEST_366,47.980118
TEST_367,86.272095
TEST_368,55.55698
TEST_369,79.954155
TEST_370,71.97221
TEST_371,99.822136
TEST_372,40.21244
TEST_373,35.236736
TEST_374,97.85028
TEST_375,120.90461
TEST_376,38.807167
TEST_377,40.827362
TEST_378,39.975224
TEST_379,20.417192
TEST_380,38.821754
TEST_381,22.433247
TEST_382,24.63511
TEST_383,73.298096
TEST_384,23.886925
TEST_385,40.88087
TEST_386,159.28593
TEST_387,39.975224
TEST_388,47.736874
TEST_389,63.893116
TEST_390,46.10988
TEST_391,64.099785
TEST_392,24.721886
TEST_393,126.57648
TEST_394,38.63542
TEST_395,59.922157
TEST_396,35.236736
TEST_397,93.44846
TEST_398,40.170677
TEST_399,28.02481
TEST_400,22.786589
TEST_401,99.57233
TEST_402,33.44235
TEST_403,17.895739
TEST_404,63.88894
TEST_405,38.821754
TEST_406,34.047703
TEST_407,99.961296
TEST_408,79.96302
TEST_409,58.615112
TEST_410,34.12089
TEST_411,64.90691
TEST_412,27.93873
TEST_413,64.90691
TEST_414,69.86689
TEST_415,59.624077
TEST_416,38.63542
TEST_417,41.008514
TEST_418,125.75471
TEST_419,145.5096
TEST_420,40.767826
TEST_421,99.59716
TEST_422,57.55259
TEST_423,28.030544
TEST_424,155.47763
TEST_425,64.90691
TEST_426,28.125626
TEST_427,59.944992
TEST_428,37.742847
TEST_429,80.07458
TEST_430,38.782894
TEST_431,63.88197
TEST_432,53.942654
TEST_433,16.741589
TEST_434,72.150696
TEST_435,23.048191
TEST_436,38.63542
TEST_437,80.07458
TEST_438,37.742847
TEST_439,78.17521
TEST_440,75.37901
TEST_441,40.86979
TEST_442,100.12877
TEST_443,73.95992
TEST_444,73.98776
TEST_445,52.855507
TEST_446,34.04568
TEST_447,58.23115
TEST_448,63.844345
TEST_449,80.07458
TEST_450,83.337364
TEST_451,101.52379
TEST_452,16.316067
TEST_453,69.844315
TEST_454,57.55259
TEST_455,27.541334
TEST_456,50.64983
TEST_457,38.807167
TEST_458,28.031683
TEST_459,23.058432
TEST_460,22.410597
TEST_461,96.81027
TEST_462,34.698444
TEST_463,54.628857
TEST_464,78.18104
TEST_465,120.90461
TEST_466,51.30216
TEST_467,159.28593
TEST_468,80.07458
TEST_469,40.071045
TEST_470,62.806816
TEST_471,48.139523
TEST_472,27.93199
TEST_473,38.833984
TEST_474,40.21244
TEST_475,35.679424
TEST_476,120.90461
TEST_477,59.742085
TEST_478,62.403393
TEST_479,65.46817
TEST_480,40.909306
TEST_481,60.673862
TEST_482,145.5096
TEST_483,78.17521
TEST_484,27.810083
TEST_485,53.627483
TEST_486,65.46817
TEST_487,69.62594
TEST_488,27.93873
TEST_489,22.94532
TEST_490,27.780722
TEST_491,38.782894
TEST_492,59.624077
TEST_493,59.985157
TEST_494,80.07458
TEST_495,40.112534
TEST_496,37.742847
TEST_497,78.17318
TEST_498,86.272095
TEST_499,100.040016
TEST_500,60.673862
TEST_501,131.10056
TEST_502,23.752174
TEST_503,74.094086
TEST_504,74.67964
TEST_505,68.1536
TEST_506,160.1974
TEST_507,18.229391
TEST_508,79.91781
TEST_509,59.692886
TEST_510,51.193928
TEST_511,18.229391
TEST_512,38.807167
TEST_513,100.96919
TEST_514,59.624077
TEST_515,38.833984
TEST_516,63.88197
TEST_517,27.876312
TEST_518,73.98698
TEST_519,64.067245
TEST_520,69.76201
TEST_521,96.81027
TEST_522,18.00125
TEST_523,37.045044
TEST_524,47.980118
TEST_525,18.00125
TEST_526,73.289185
TEST_527,71.929825
TEST_528,64.17013
TEST_529,24.63511
TEST_530,122.09133
TEST_531,24.63511
TEST_532,125.71315
TEST_533,52.855507
TEST_534,159.28593
TEST_535,78.89668
TEST_536,34.142532
TEST_537,78.18104
TEST_538,79.89457
TEST_539,28.031683
TEST_540,126.46396
TEST_541,120.89958
TEST_542,22.496996
TEST_543,62.403393
TEST_544,64.90691
TEST_545,120.77551
TEST_546,72.38801
TEST_547,59.624077
TEST_548,22.799202
TEST_549,38.807167
TEST_550,22.12182
TEST_551,24.63511
TEST_552,40.86989
TEST_553,80.07458
TEST_554,23.073866
TEST_555,64.254814
TEST_556,100.81603
TEST_557,48.183994
TEST_558,22.410797
TEST_559,35.236736
TEST_560,80.07458
TEST_561,36.943974
TEST_562,20.302067
TEST_563,99.74385
TEST_564,27.902477
TEST_565,80.07458
TEST_566,73.289185
TEST_567,23.66792
TEST_568,22.799202
TEST_569,78.893265
TEST_570,59.6515
TEST_571,125.403435
TEST_572,28.137806
TEST_573,23.752174
TEST_574,35.236736
TEST_575,40.806812
TEST_576,79.954155
TEST_577,80.05198
TEST_578,117.52279
TEST_579,47.1603
TEST_580,28.018904
TEST_581,57.55259
TEST_582,27.780722
TEST_583,60.64591
TEST_584,74.41549
TEST_585,40.21244
TEST_586,63.8751
TEST_587,27.93199
TEST_588,21.895197
TEST_589,34.04568
TEST_590,160.26971
TEST_591,28.031683
TEST_592,115.16311
TEST_593,88.98053
TEST_594,28.02481
TEST_595,23.626247
TEST_596,35.236736
TEST_597,160.24373
TEST_598,159.28593
TEST_599,23.66792
TEST_600,38.821754
TEST_601,27.93873
TEST_602,18.440191
TEST_603,99.31454
TEST_604,20.284325
TEST_605,78.18925
TEST_606,60.64591
TEST_607,69.915054
TEST_608,33.521236
TEST_609,35.695896
TEST_610,155.47763
TEST_611,118.16963
TEST_612,80.07458
TEST_613,27.93873
TEST_614,23.752174
TEST_615,23.073866
TEST_616,37.742847
TEST_617,100.12877
TEST_618,80.009415
TEST_619,34.12089
TEST_620,59.624077
TEST_621,80.0286
TEST_622,125.75471
TEST_623,63.893116
TEST_624,40.11309
TEST_625,20.284325
TEST_626,35.236736
TEST_627,34.142532
TEST_628,34.159317
TEST_629,79.954155
TEST_630,40.865868
TEST_631,23.027449
TEST_632,22.79126
TEST_633,23.626247
TEST_634,40.04701
TEST_635,97.38609
TEST_636,22.246012
TEST_637,130.79076
TEST_638,80.0286
TEST_639,159.65134
TEST_640,159.42416
TEST_641,24.149223
TEST_642,72.19925
TEST_643,27.739029
TEST_644,17.739433
TEST_645,78.18104
TEST_646,74.08633
TEST_647,99.59716
TEST_648,47.980118
TEST_649,34.122967
TEST_650,79.954155
TEST_651,23.710499
TEST_652,18.419327
TEST_653,27.902477
TEST_654,78.17521
TEST_655,78.18925
TEST_656,38.807167
TEST_657,27.870556
TEST_658,22.766045
TEST_659,55.55698
TEST_660,69.744896
TEST_661,125.75471
TEST_662,65.43169
TEST_663,160.1974
TEST_664,47.980118
TEST_665,159.64139
TEST_666,58.961662
TEST_667,111.590546
TEST_668,38.807167
TEST_669,27.565453
TEST_670,80.07223
TEST_671,52.855507
TEST_672,54.628857
TEST_673,74.0845
TEST_674,40.920258
TEST_675,18.142416
TEST_676,131.5769
TEST_677,60.64591
TEST_678,83.337364
TEST_679,99.55304
TEST_680,100.16182
TEST_681,46.434784
TEST_682,31.057291
TEST_683,80.009415
TEST_684,37.69917
TEST_685,34.12089
TEST_686,39.947735
TEST_687,27.565453
TEST_688,59.941433
TEST_689,111.590546
TEST_690,63.8751
TEST_691,120.90461
TEST_692,23.012518
TEST_693,22.401466
TEST_694,73.289185
TEST_695,75.31142
TEST_696,99.78695
TEST_697,37.742847
TEST_698,34.722775
TEST_699,59.74904
TEST_700,86.272095
TEST_701,27.905249
TEST_702,38.821754
TEST_703,96.81027
TEST_704,122.2768
TEST_705,41.16294
TEST_706,72.285965
TEST_707,25.160887
TEST_708,38.807167
TEST_709,156.22441
TEST_710,160.10786
TEST_711,21.341589
TEST_712,64.067245
TEST_713,74.08633
TEST_714,27.93199
TEST_715,71.929825
TEST_716,125.57198
TEST_717,23.710499
TEST_718,40.913612
TEST_719,100.047806
TEST_720,99.434326
TEST_721,58.249477
TEST_722,60.620163
TEST_723,59.73425
TEST_724,37.69917
TEST_725,36.943974
TEST_726,40.86989
TEST_727,78.16663
TEST_728,36.518238
TEST_729,36.88301
TEST_730,75.37901
TEST_731,35.236736
TEST_732,23.315296
TEST_733,62.598278
TEST_734,24.631742
TEST_735,99.78695
TEST_736,46.875797
TEST_737,120.908676
TEST_738,40.86989
TEST_739,27.030739
TEST_740,28.027374
TEST_741,23.752174
TEST_742,17.318377
TEST_743,64.099785
TEST_744,34.755154
TEST_745,21.88508
TEST_746,72.111435
TEST_747,79.92969
TEST_748,69.62594
TEST_749,21.73244
TEST_750,64.067245
TEST_751,69.844315
TEST_752,78.18104
TEST_753,19.085089
TEST_754,88.98053
TEST_755,28.02481
TEST_756,83.337364
TEST_757,52.426636
TEST_758,120.90461
TEST_759,34.142532
TEST_760,40.198166
TEST_761,47.1603
TEST_762,46.10988
TEST_763,28.173267
TEST_764,73.82627
TEST_765,101.27246
TEST_766,156.22441
TEST_767,64.82905
TEST_768,22.688148
TEST_769,91.682655
TEST_770,34.722775
TEST_771,27.93199
TEST_772,33.448322
TEST_773,21.098175
TEST_774,40.11309
TEST_775,34.04568
TEST_776,46.875797
TEST_777,96.81027
TEST_778,22.496996
TEST_779,72.150696
TEST_780,27.870556
TEST_781,63.88197
TEST_782,118.98267
TEST_783,17.739433
TEST_784,159.36313
TEST_785,64.64831
TEST_786,63.893116
TEST_787,124.67635
TEST_788,80.0286
TEST_789,75.37901
TEST_790,60.13975
TEST_791,23.20638
TEST_792,160.05353
TEST_793,151.76843
TEST_794,94.22825
TEST_795,117.52279
TEST_796,55.55698
TEST_797,22.758469
TEST_798,21.050255
TEST_799,47.945023
TEST_800,23.073866
TEST_801,64.84391
TEST_802,37.69917
TEST_803,29.136936
TEST_804,100.14289
TEST_805,47.805138
TEST_806,24.631742
TEST_807,63.88197
TEST_808,65.47403
TEST_809,100.10952
TEST_810,155.78868
TEST_811,37.742847
TEST_812,160.26971
TEST_813,83.337364
TEST_814,27.810083
TEST_815,59.664856
TEST_816,24.283974
TEST_817,27.565453
TEST_818,155.78868
TEST_819,99.97939
TEST_820,22.799202
TEST_821,27.541334
TEST_822,74.0845
TEST_823,34.12251
TEST_824,64.93025
TEST_825,53.72335
TEST_826,37.69917
TEST_827,36.943974
TEST_828,125.57198
TEST_829,145.5096
TEST_830,22.496996
TEST_831,120.24176
TEST_832,115.16311
TEST_833,35.236736
TEST_834,34.68118
TEST_835,79.954155
TEST_836,59.75049
TEST_837,58.23115
TEST_838,100.14289
TEST_839,47.989494
TEST_840,23.040298
TEST_841,149.89282
TEST_842,38.833984
TEST_843,38.821754
TEST_844,58.753025
TEST_845,22.368431
